Dataset,Model,Framework,Role,Strict Match (%),Relaxed Match (%),Semantic Similarity,N Samples
EDOS,amazon/nova-micro-v1,Cognitive Load Theory,EXPERT,33.19,33.19,0.5835,1600
EDOS,amazon/nova-micro-v1,Cognitive Load Theory,FDM,40.00,40.00,0.6358,320
EDOS,amazon/nova-micro-v1,Cognitive Load Theory,MV,38.12,38.12,0.6103,320
EDOS,amazon/nova-micro-v1,Dual-Process Theory,EXPERT,35.69,35.69,0.6090,1600
EDOS,amazon/nova-micro-v1,Dual-Process Theory,FDM,41.56,41.56,0.6515,320
EDOS,amazon/nova-micro-v1,Dual-Process Theory,MV,40.62,40.62,0.6434,320
EDOS,amazon/nova-micro-v1,Flow Theory,EXPERT,34.00,34.00,0.5923,1600
EDOS,amazon/nova-micro-v1,Flow Theory,FDM,40.31,40.31,0.6387,320
EDOS,amazon/nova-micro-v1,Flow Theory,MV,40.31,40.31,0.6351,320
EDOS,amazon/nova-micro-v1,Freudian Psychoanalysis,EXPERT,34.74,34.74,0.6034,1920
EDOS,amazon/nova-micro-v1,Freudian Psychoanalysis,FDM,37.81,37.81,0.6304,320
EDOS,amazon/nova-micro-v1,Freudian Psychoanalysis,MV,38.12,38.12,0.6301,320
EDOS,amazon/nova-micro-v1,User Design Persona,EXPERT,33.63,33.63,0.5922,2560
EDOS,amazon/nova-micro-v1,User Design Persona,FDM,40.94,40.94,0.6424,320
EDOS,amazon/nova-micro-v1,User Design Persona,MV,38.75,38.75,0.6267,320
EDOS,amazon/nova-micro-v1,User-Centered Design,EXPERT,36.06,36.06,0.6071,1600
EDOS,amazon/nova-micro-v1,User-Centered Design,FDM,40.62,40.62,0.6335,320
EDOS,amazon/nova-micro-v1,User-Centered Design,MV,39.06,39.06,0.6260,320
EDOS,amazon/nova-micro-v1,baseline,BASELINE,36.25,36.25,0.6224,320
EDOS,amazon/nova-micro-v1,no-description,EXPERT,37.62,37.62,0.6268,1600
EDOS,amazon/nova-micro-v1,no-description,FDM,42.19,42.19,0.6589,320
EDOS,amazon/nova-micro-v1,no-description,MV,42.19,42.19,0.6568,320
EDOS,amazon/nova-micro-v1,no-personality,EXPERT,34.94,34.94,0.5962,1600
EDOS,amazon/nova-micro-v1,no-personality,FDM,39.06,39.06,0.6282,320
EDOS,amazon/nova-micro-v1,no-personality,MV,38.44,38.44,0.6178,320
EDOS,google/gemma-3-12b-it,Cognitive Load Theory,EXPERT,38.37,38.37,0.6096,6080
EDOS,google/gemma-3-12b-it,Cognitive Load Theory,FDM,45.31,45.31,0.6522,320
EDOS,google/gemma-3-12b-it,Cognitive Load Theory,MV,43.44,43.44,0.6374,320
EDOS,google/gemma-3-12b-it,Dual-Process Theory,EXPERT,39.34,39.34,0.6192,6080
EDOS,google/gemma-3-12b-it,Dual-Process Theory,FDM,47.81,47.81,0.6772,320
EDOS,google/gemma-3-12b-it,Dual-Process Theory,MV,44.38,44.38,0.6552,320
EDOS,google/gemma-3-12b-it,Flow Theory,EXPERT,37.52,37.52,0.6077,4800
