dataset,model,description-framework,role,n,strict_acc,relaxed_acc
EDOS,amazon/nova-micro-v1,Cognitive Load Theory,FDM,320,40.00,40.00
EDOS,amazon/nova-micro-v1,Cognitive Load Theory,MV,320,38.12,38.12
EDOS,amazon/nova-micro-v1,Dual-Process Theory,FDM,320,41.56,41.56
EDOS,amazon/nova-micro-v1,Dual-Process Theory,MV,320,40.62,40.62
EDOS,amazon/nova-micro-v1,Flow Theory,FDM,320,40.31,40.31
EDOS,amazon/nova-micro-v1,Flow Theory,MV,320,40.31,40.31
EDOS,amazon/nova-micro-v1,Freudian Psychoanalysis,FDM,320,37.81,37.81
EDOS,amazon/nova-micro-v1,Freudian Psychoanalysis,MV,320,38.12,38.12
EDOS,amazon/nova-micro-v1,User Design Persona,FDM,320,40.94,40.94
EDOS,amazon/nova-micro-v1,User Design Persona,MV,320,38.75,38.75
EDOS,amazon/nova-micro-v1,User-Centered Design,FDM,320,40.62,40.62
EDOS,amazon/nova-micro-v1,User-Centered Design,MV,320,39.06,39.06
EDOS,amazon/nova-micro-v1,baseline,BASELINE,320,36.25,36.25
EDOS,amazon/nova-micro-v1,no-description,FDM,320,42.19,42.19
EDOS,amazon/nova-micro-v1,no-description,MV,320,42.19,42.19
EDOS,amazon/nova-micro-v1,no-personality,FDM,320,39.06,39.06
EDOS,amazon/nova-micro-v1,no-personality,MV,320,38.44,38.44
EDOS,google/gemma-3-12b-it,Cognitive Load Theory,FDM,320,45.31,45.31
EDOS,google/gemma-3-12b-it,Cognitive Load Theory,MV,320,43.44,43.44
EDOS,google/gemma-3-12b-it,Dual-Process Theory,FDM,320,47.81,47.81
EDOS,google/gemma-3-12b-it,Dual-Process Theory,MV,320,44.38,44.38
EDOS,google/gemma-3-12b-it,Flow Theory,FDM,320,41.56,41.56
EDOS,google/gemma-3-12b-it,Flow Theory,MV,320,45.00,45.00
EDOS,google/gemma-3-12b-it,Freudian Psychoanalysis,FDM,320,32.50,32.50
EDOS,google/gemma-3-12b-it,Freudian Psychoanalysis,MV,320,32.19,32.19
EDOS,google/gemma-3-12b-it,User Design Persona,FDM,320,41.56,41.56
EDOS,google/gemma-3-12b-it,User Design Persona,MV,320,44.06,44.06
EDOS,google/gemma-3-12b-it,User-Centered Design,FDM,320,45.00,45.00
EDOS,google/gemma-3-12b-it,User-Centered Design,MV,320,43.75,43.75
EDOS,google/gemma-3-12b-it,baseline,BASELINE,320,44.38,44.38
EDOS,google/gemma-3-12b-it,no-description,FDM,320,49.06,49.06
EDOS,google/gemma-3-12b-it,no-description,MV,320,48.75,48.75
EDOS,google/gemma-3-12b-it,no-personality,FDM,320,44.06,44.06
EDOS,google/gemma-3-12b-it,no-personality,MV,320,43.44,43.44
EDOS,google/gemma-3-27b-it,Cognitive Load Theory,FDM,320,43.75,43.75
EDOS,google/gemma-3-27b-it,Cognitive Load Theory,MV,320,41.56,41.56
EDOS,google/gemma-3-27b-it,Dual-Process Theory,FDM,320,40.94,40.94
EDOS,google/gemma-3-27b-it,Dual-Process Theory,MV,320,41.88,41.88
EDOS,google/gemma-3-27b-it,Flow Theory,FDM,320,40.31,40.31
EDOS,google/gemma-3-27b-it,Flow Theory,MV,320,41.56,41.56
EDOS,google/gemma-3-27b-it,Freudian Psychoanalysis,FDM,320,31.87,31.87
EDOS,google/gemma-3-27b-it,Freudian Psychoanalysis,MV,320,33.12,33.12
EDOS,google/gemma-3-27b-it,User Design Persona,FDM,320,39.38,39.38
EDOS,google/gemma-3-27b-it,User Design Persona,MV,320,40.62,40.62
EDOS,google/gemma-3-27b-it,User-Centered Design,FDM,320,42.19,42.19
EDOS,google/gemma-3-27b-it,User-Centered Design,MV,320,43.12,43.12
EDOS,google/gemma-3-27b-it,baseline,BASELINE,320,41.88,41.88
EDOS,google/gemma-3-27b-it,no-description,FDM,320,46.88,46.88
EDOS,google/gemma-3-27b-it,no-description,MV,320,45.31,45.31
EDOS,google/gemma-3-27b-it,no-personality,FDM,320,43.12,43.12
